gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
1,0,0,0,-1.2413308272103278,1,0,0.19316450620639225,-0.946350640120854,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
0,0,0,0,-0.7110781194995532,1,1,0.6473551391691115,-0.43534589159229437,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0
1,0,1,1,1.4099327113435454,1,1,0.8203801422025286,1.7945469843289024,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,0
1,0,0,0,-1.1189648177386107,1,1,0.023466907077463767,-0.8587460565269909,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,0
1,0,0,0,-0.26240275143659014,1,1,-1.4838470616559571,-0.783389402918515,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,0
0,0,0,0,-1.1597534875625164,1,1,-0.01646193977640131,-0.8969631163377675,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,0
1,0,1,1,-0.38476876090830736,1,0,-1.5071388889873785,-0.8205949640231375,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0
1,1,0,0,-1.2413308272103278,1,1,0.32626066238594376,-0.9354880235808518,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1
1,0,0,0,0.7573139941610534,1,0,-1.5237759085098224,-0.5650156279007809,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,0
1,0,1,1,-0.1400367419648729,1,0,0.505940473228338,-0.035518044331448465,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,0
1,0,0,0,-1.1597534875625164,1,1,0.6906113899274662,-0.8591858385731449,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1
1,0,0,0,-1.0373874780907992,1,1,0.7288765348290869,-0.7354091816831212,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1
0,0,0,1,-0.8742327987951762,1,0,-1.4905018694649346,-0.9108822180985394,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,1
0,0,0,0,0.6349479846893362,1,0,-1.3424323957151836,-0.47875237954768735,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,0
1,0,0,0,-1.2821194970342338,1,0,-0.3525297341297692,-0.9843478089085534,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0
1,0,1,1,1.613876060463074,1,0,0.825371248059262,1.7796823511688995,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,0
0,0,1,1,1.5730873906391682,1,0,0.421091673663874,1.4432710749634505,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,True,False,False,0
0,1,1,0,1.4915100509913568,1,0,1.3477736610640019,2.0697845779143393,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,True,False,False,0
1,0,0,0,-1.2821194970342338,1,0,-1.4938292733694234,-0.9994323330916333,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0
0,0,0,0,-0.7110781194995532,1,0,1.337791449350535,-0.3121629404645785,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,1
0,0,0,0,1.5322987208152625,0,1,-0.6752879128651815,0.33669149043093055,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,0
0,0,1,1,-1.1189648177386107,1,1,0.6223996098854456,-0.8304680709592932,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,1
0,0,1,1,-0.017670732493155674,1,0,0.8220438441547729,0.26793156751476355,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0
0,1,1,1,0.5533706450415247,1,1,1.5074890484794634,1.1784123376672457,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,0
1,0,0,0,-0.915021468619082,1,0,-1.3041672508135624,-0.897578811202383,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0
1,0,1,1,-0.18082541178877864,1,0,-0.01646193977640131,-0.21567475953840612,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,0
1,1,1,0,0.10469527697856156,1,1,1.1947130814575173,0.503522809639424,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,0
1,1,1,0,0.0639066071546558,1,1,0.6756380723572665,0.2559035285524534,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,0
0,0,1,1,-0.09924807214096716,1,0,-1.517121100700845,-0.7430833783885072,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0
0,0,1,0,0.512581975217619,1,1,1.0083784628061454,0.8765899193918033,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,0
1,0,1,1,-0.915021468619082,1,1,-1.3474235015719167,-0.8965673124962289,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0
0,0,1,0,-1.1189648177386107,1,0,0.10166089883295057,-0.8541723232469901,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,1
1,0,0,0,-1.1189648177386107,0,1,-0.4623340629778991,-0.8736766569939168,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,1
0,0,0,0,-0.8334441289712705,1,0,-1.4888381675126903,-0.8935767945823823,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,0
1,0,0,0,-0.05845940231706142,1,0,-1.4805196577514683,-0.7403567297023529,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0
